title,description,target_class,related_careers
UI/UX Bootcamp,"Specialized training for building design and prototyping skills.",17,UI/UX Designer
Data Analytics Certification,"Master analytics tools like SQL, PowerBI, and Tableau.",17,Data Scientist|Business Analyst
Machine Learning Certification,"Learn ML algorithms and applications.",17,Data Scientist|AI Engineer
Flight Simulator Training,"Enhance flying skills in advanced simulators.",17,Pilot
Medical Fellowship,"Specialization training in chosen medical field after post-graduation.",17,Doctor
Foreign Language Course,"Learn a new language to boost global career opportunities.",17,Diplomat|Business Analyst|Tourism Manager
Public Speaking Workshop,"Improve communication and presentation skills.",17,Lawyer|Manager|Politician
TEDx Talk Participation,"Share ideas on public platforms to build thought leadership.",17,Entrepreneur|Scientist
Online Portfolio Website,"Build your personal website to showcase projects and achievements.",17,Software Engineer|UI/UX Designer
National Startup Awards,"Participate in recognition events for entrepreneurs.",17,Entrepreneur
KVPY Fellowship,"Research-based fellowship program in India for science students.",12,Scientist|Researcher
Google Summer of Code,"Contribute to open source projects with mentorship.",14,Software Engineer|Data Scientist
IEEE Conference Participation,"Present technical papers at global IEEE conferences.",15,Scientist|Software Engineer
NCFM Certification,"Financial certification by NSE in capital markets.",15,Investment Banker|Financial Analyst
Indian Air Force AFCAT Exam,"Exam for entry into Air Force as a pilot or ground duty officer.",15,Pilot
Indian Navy Exam,"National exam for officer entry into Indian Navy.",15,Defense Officer
Foreign Medical Graduate Exam,"Required for doctors who studied abroad to practice in India.",15,Doctor
Medical Council Licensing,"Obtain national licensing to practice medicine.",16,Doctor
Google Developer Certification,"Validate technical expertise with Google technologies.",16,Software Engineer
Microsoft Azure Certification,"Certification in cloud technologies from Microsoft.",16,Cloud Engineer
Kaggle Competition,"Compete in data science challenges globally.",16,Data Scientist
Robotics Competition,"Participate in robotics challenges and expos.",14,Engineer|Scientist
Math Modeling Contest,"Compete in applied mathematics and problem solving.",14,Mathematician|Data Scientist
Young Scientist Award,"Recognition for outstanding science projects.",15,Scientist
Medical Research Publication,"Publish findings in medical journals.",15,Doctor
Art Exhibition,"Showcase artistic talent at national exhibitions.",15,Artist
Short Film Festival,"Submit creative works for recognition.",15,Film Director|Actor
Open Source Contributions,"Contribute to large-scale projects to gain credibility.",15,Software Engineer
Online Course Completion,"Finish MOOCs from Coursera/edX/Skillshare to gain skills.",13,Software Engineer|Data Scientist|Designer
Startup Incubator Program,"Join accelerators to grow startup ideas.",16,Entrepreneur
Patent Filing,"File for intellectual property rights of your innovation.",16,Scientist|Engineer|Entrepreneur
National Eligibility Test (NET),"Qualifying exam for lectureship and research fellowships.",16,Professor|Researcher
ICAI Intermediate Exam,"Second-level exam for Chartered Accountants.",14,Chartered Accountant
ICAI Final Exam,"Final exam for Chartered Accountancy qualification.",16,Chartered Accountant
Company Secretary Exam,"Professional exam to become a Company Secretary.",14,Company Secretary
B.Arch NATA Exam,"National Aptitude Test for Architecture aspirants.",12,Architect
Interior Design Diploma,"Specialized diploma for pursuing career in interior design.",13,Interior Designer
Sports Scholarship,"Earn scholarships by excelling in sports.",12,Athlete
Civil Services Mains,"Second stage of UPSC exam with descriptive papers.",16,Civil Servant
Civil Services Interview,"Final stage of UPSC exam.",16,Civil Servant
Entrepreneurship Summit,"Participate in summits to learn and network with business leaders.",16,Entrepreneur
LinkedIn Profile Building,"Build a professional online presence on LinkedIn.",13,Software Engineer|Business Analyst|Doctor|Pilot
Portfolio Photoshoot,"Create professional photos for resumes and profiles.",13,Actor|Model|Entrepreneur
MOOC Specialization,"Complete specialization in trending skills like AI or blockchain.",15,Software Engineer|Data Scientist
Startup Pitch Competition,"Pitch your startup idea to investors.",16,Entrepreneur
Industry Mentorship Program,"Gain guidance from professionals in your career field.",13,Software Engineer|Doctor|Lawyer
International Student Exchange,"Study abroad for a semester to gain exposure.",14,Scientist|Engineer|Business Analyst
Foreign University Applications,"Apply for undergraduate/graduate courses abroad.",12,Software Engineer|Doctor|Business Analyst
Community Volunteering,"Work with NGOs to give back to society.",11,Social Worker|Doctor|Teacher
